District,2019_visitors,Population,Population/Tourist_2019,,,
Adilabad,775895,708972,0.913747349834707,,,
Bhadradri Kothagudem,12817737,1069261,0.0834204196887485,,,
Hyderabad,13802362,3943323,0.285699143378503,,,
Jagitial,3086115,985417,0.319306636337272,,,
Jangaon,328890,566376,1.72208337133996,,,
Jayasankar Bhupalpally,662530,416763,0.629047741234359,,,
Jogulamba Gadwal,2007995,609990,0.303780636903976,,,
Kamareddy,534,972625,1821.39513108614,,,
Karimnagar,77491,1005711,12.9784233007704,,,
Khammam,1413440,1401639,0.991650865972379,,,
Komaram Bheem,19189,515812,26.8806086820574,,,
Mahabubabad,152885,774549,5.06621970762338,,,
Mahabubnagar,2534815,919903,0.362907352213081,,,
Mancherial,269810,807037,2.99113079574515,,,
Medak,5452570,767428,0.140746106881709,,,
Mulugu,1819800,257744,0.141633146499615,,,
Nagarkurnool,2093312,893308,0.426743839427663,,,
Nalgonda,140918,1618416,11.484806767056,,,
Narayanpet,389250,566874,1.45632369942197,,,
Nirmal,3816778,709418,0.185868289955559,,,
Nizamabad,46333,1571022,33.9071935769322,,,
Peddapalli,16581,795332,47.9664676436886,,,
Rajanna Sircilla,16832897,552037,0.0327951273033988,,,
Sangareddy,4553160,1527628,0.335509404457564,,,
Siddipet,2987864,1012065,0.33872525657125,,,
Wanaparthy,298639,577758,1.93463680229307,,,
Warangal (Rural),353500,718537,2.03263649222065,,,
Warangal (Urban),1795230,1080858,0.602072157885062,,,
Yadadri Bhuvanagiri,4489374,739448,0.164710714678706,,,